Ref_Date,GEO,INS,RAN,STA,Value
2016/2017,Canada,University of Alberta - Excluding medical dental,All ranks combined (including deans),Average (dollars),155500
2016/2017,Canada,University of Alberta - Excluding medical dental,All ranks combined (including deans),Median (dollars),145400
2016/2017,Canada,University of Alberta - Excluding medical dental,Male,Total teaching staff,912
2016/2017,Canada,University of Alberta - Excluding medical dental,Male,Average (dollars),163025
2016/2017,Canada,University of Alberta - Excluding medical dental,Male,Median (dollars),152850
2016/2017,Canada,University of Alberta - Excluding medical dental,Female,Total teaching staff,501
2016/2017,Canada,University of Alberta - Excluding medical dental,Female,Average (dollars),141800
2016/2017,Canada,University of Alberta - Excluding medical dental,Female,Median (dollars),134975
2016/2017,Canada,Athabasca University,Full professor,Total teaching staff,24
2016/2017,Canada,Athabasca University,Full professor,Average (dollars),147050
2016/2017,Canada,Athabasca University,Full professor,Median (dollars),144950
2016/2017,Canada,Athabasca University,With senior administrative duties,Total teaching staff,9
2016/2017,Canada,Athabasca University,With senior administrative duties,Average (dollars),147575
2016/2017,Canada,Athabasca University,With senior administrative duties,Median (dollars),154925
2016/2017,Canada,Athabasca University,Without senior administrative duties,Total teaching staff,15
2016/2017,Canada,Athabasca University,Without senior administrative duties,Average (dollars),146625
2016/2017,Canada,Athabasca University,Without senior administrative duties,Median (dollars),140975
2016/2017,Canada,Athabasca University,Associate professor,Total teaching staff,72
2016/2017,Canada,Athabasca University,Associate professor,Average (dollars),122475
2016/2017,Canada,Athabasca University,Associate professor,Median (dollars),119400
2016/2017,Canada,Athabasca University,With senior administrative duties,Total teaching staff,15
2016/2017,Canada,Athabasca University,With senior administrative duties,Average (dollars),129650
2016/2017,Canada,Athabasca University,With senior administrative duties,Median (dollars),127275
2016/2017,Canada,Athabasca University,Without senior administrative duties,Total teaching staff,57
2016/2017,Canada,Athabasca University,Without senior administrative duties,Average (dollars),120700
2016/2017,Canada,Athabasca University,Without senior administrative duties,Median (dollars),119400
2016/2017,Canada,Athabasca University,Assistant professor,Total teaching staff,27
2016/2017,Canada,Athabasca University,Assistant professor,Average (dollars),89750
2016/2017,Canada,Athabasca University,Assistant professor,Median (dollars),87075
2016/2017,Canada,Athabasca University,Rank below assistant professor,Total teaching staff,18
2016/2017,Canada,Athabasca University,Rank below assistant professor,Average (dollars),144850
2016/2017,Canada,Athabasca University,Rank below assistant professor,Median (dollars),159325
2016/2017,Canada,Athabasca University,Other teaching staff,Total teaching staff,30
2016/2017,Canada,Athabasca University,Other teaching staff,Average (dollars),100350
2016/2017,Canada,Athabasca University,Other teaching staff,Median (dollars),101700
2016/2017,Canada,Athabasca University,All ranks combined (including deans),Total teaching staff,177
2016/2017,Canada,Athabasca University,All ranks combined (including deans),Average (dollars),121175
2016/2017,Canada,Athabasca University,All ranks combined (including deans),Median (dollars),114750
2016/2017,Canada,Athabasca University,Male,Total teaching staff,93
2016/2017,Canada,Athabasca University,Male,Average (dollars),121900
2016/2017,Canada,Athabasca University,Male,Median (dollars),116000
2016/2017,Canada,Athabasca University,Female,Total teaching staff,84
2016/2017,Canada,Athabasca University,Female,Average (dollars),120325
2016/2017,Canada,Athabasca University,Female,Median (dollars),114000
2016/2017,Canada,University of Calgary - Including medical dental,Full professor,Total teaching staff,636
2016/2017,Canada,University of Calgary - Including medical dental,Full professor,Average (dollars),178300
2016/2017,Canada,University of Calgary - Including medical dental,Full professor,Median (dollars),167825
2016/2017,Canada,University of Calgary - Including medical dental,With senior administrative duties,Total teaching staff,114
2016/2017,Canada,University of Calgary - Including medical dental,With senior administrative duties,Average (dollars),200025
2016/2017,Canada,University of Calgary - Including medical dental,With senior administrative duties,Median (dollars),180525
2016/2017,Canada,University of Calgary - Including medical dental,Without senior administrative duties,Total teaching staff,522
2016/2017,Canada,University of Calgary - Including medical dental,Without senior administrative duties,Average (dollars),173550
2016/2017,Canada,University of Calgary - Including medical dental,Without senior administrative duties,Median (dollars),165125
2016/2017,Canada,University of Calgary - Including medical dental,Associate professor,Total teaching staff,540
2016/2017,Canada,University of Calgary - Including medical dental,Associate professor,Average (dollars),134175
2016/2017,Canada,University of Calgary - Including medical dental,Associate professor,Median (dollars),126175
2016/2017,Canada,University of Calgary - Including medical dental,With senior administrative duties,Total teaching staff,51
2016/2017,Canada,University of Calgary - Including medical dental,With senior administrative duties,Average (dollars),146025
2016/2017,Canada,University of Calgary - Including medical dental,With senior administrative duties,Median (dollars),140125
2016/2017,Canada,University of Calgary - Including medical dental,Without senior administrative duties,Total teaching staff,486
2016/2017,Canada,University of Calgary - Including medical dental,Without senior administrative duties,Average (dollars),132900
2016/2017,Canada,University of Calgary - Including medical dental,Without senior administrative duties,Median (dollars),125625
2016/2017,Canada,University of Calgary - Including medical dental,Assistant professor,Total teaching staff,318
2016/2017,Canada,University of Calgary - Including medical dental,Assistant professor,Average (dollars),105775
2016/2017,Canada,University of Calgary - Including medical dental,Assistant professor,Median (dollars),99350
2016/2017,Canada,University of Calgary - Including medical dental,Rank below assistant professor,Total teaching staff,279
2016/2017,Canada,University of Calgary - Including medical dental,Rank below assistant professor,Average (dollars),101825
2016/2017,Canada,University of Calgary - Including medical dental,Rank below assistant professor,Median (dollars),97000
2016/2017,Canada,University of Calgary - Including medical dental,All ranks combined (including deans),Total teaching staff,1788
2016/2017,Canada,University of Calgary - Including medical dental,All ranks combined (including deans),Average (dollars),140850
2016/2017,Canada,University of Calgary - Including medical dental,All ranks combined (including deans),Median (dollars),130500
2016/2017,Canada,University of Calgary - Including medical dental,Male,Total teaching staff,1107
2016/2017,Canada,University of Calgary - Including medical dental,Male,Average (dollars),150700
2016/2017,Canada,University of Calgary - Including medical dental,Male,Median (dollars),139475
2016/2017,Canada,University of Calgary - Including medical dental,Female,Total teaching staff,678
2016/2017,Canada,University of Calgary - Including medical dental,Female,Average (dollars),124775
2016/2017,Canada,University of Calgary - Including medical dental,Female,Median (dollars),119325
2016/2017,Canada,University of Calgary - Excluding medical dental,Full professor,Total teaching staff,399
2016/2017,Canada,University of Calgary - Excluding medical dental,Full professor,Average (dollars),172325
2016/2017,Canada,University of Calgary - Excluding medical dental,Full professor,Median (dollars),164900
2016/2017,Canada,University of Calgary - Excluding medical dental,With senior administrative duties,Total teaching staff,66
2016/2017,Canada,University of Calgary - Excluding medical dental,With senior administrative duties,Average (dollars),185700
2016/2017,Canada,University of Calgary - Excluding medical dental,With senior administrative duties,Median (dollars),172525
2016/2017,Canada,University of Calgary - Excluding medical dental,Without senior administrative duties,Total teaching staff,336
2016/2017,Canada,University of Calgary - Excluding medical dental,Without senior administrative duties,Average (dollars),169750
2016/2017,Canada,University of Calgary - Excluding medical dental,Without senior administrative duties,Median (dollars),162075
2016/2017,Canada,University of Calgary - Excluding medical dental,Associate professor,Total teaching staff,336
2016/2017,Canada,University of Calgary - Excluding medical dental,Associate professor,Average (dollars),128925
2016/2017,Canada,University of Calgary - Excluding medical dental,Associate professor,Median (dollars),125100
2016/2017,Canada,University of Calgary - Excluding medical dental,With senior administrative duties,Total teaching staff,33
2016/2017,Canada,University of Calgary - Excluding medical dental,With senior administrative duties,Average (dollars),144200
2016/2017,Canada,University of Calgary - Excluding medical dental,With senior administrative duties,Median (dollars),141225
2016/2017,Canada,University of Calgary - Excluding medical dental,Without senior administrative duties,Total teaching staff,303
2016/2017,Canada,University of Calgary - Excluding medical dental,Without senior administrative duties,Average (dollars),127325
2016/2017,Canada,University of Calgary - Excluding medical dental,Without senior administrative duties,Median (dollars),124175
2016/2017,Canada,University of Calgary - Excluding medical dental,Assistant professor,Total teaching staff,210
2016/2017,Canada,University of Calgary - Excluding medical dental,Assistant professor,Average (dollars),104750
2016/2017,Canada,University of Calgary - Excluding medical dental,Assistant professor,Median (dollars),99375
2016/2017,Canada,University of Calgary - Excluding medical dental,Rank below assistant professor,Total teaching staff,261
2016/2017,Canada,University of Calgary - Excluding medical dental,Rank below assistant professor,Average (dollars),100625
2016/2017,Canada,University of Calgary - Excluding medical dental,Rank below assistant professor,Median (dollars),94875
2016/2017,Canada,University of Calgary - Excluding medical dental,All ranks combined (including deans),Total teaching staff,1221
2016/2017,Canada,University of Calgary - Excluding medical dental,All ranks combined (including deans),Average (dollars),134525
2016/2017,Canada,University of Calgary - Excluding medical dental,All ranks combined (including deans),Median (dollars),127275
2016/2017,Canada,University of Calgary - Excluding medical dental,Male,Total teaching staff,720
2016/2017,Canada,University of Calgary - Excluding medical dental,Male,Average (dollars),144100
2016/2017,Canada,University of Calgary - Excluding medical dental,Male,Median (dollars),134825
2016/2017,Canada,University of Calgary - Excluding medical dental,Female,Total teaching staff,501
2016/2017,Canada,University of Calgary - Excluding medical dental,Female,Average (dollars),120750
2016/2017,Canada,University of Calgary - Excluding medical dental,Female,Median (dollars),114500
2016/2017,Canada,University of Lethbridge,Full professor,Total teaching staff,102
2016/2017,Canada,University of Lethbridge,Full professor,Average (dollars),153550
2016/2017,Canada,University of Lethbridge,Full professor,Median (dollars),142700
2016/2017,Canada,University of Lethbridge,With senior administrative duties,Total teaching staff,x
2016/2017,Canada,University of Lethbridge,With senior administrative duties,Average (dollars),x
2016/2017,Canada,University of Lethbridge,With senior administrative duties,Median (dollars),x
2016/2017,Canada,University of Lethbridge,Without senior administrative duties,Total teaching staff,99
2016/2017,Canada,University of Lethbridge,Without senior administrative duties,Average (dollars),152525
2016/2017,Canada,University of Lethbridge,Without senior administrative duties,Median (dollars),142550
2016/2017,Canada,University of Lethbridge,Associate professor,Total teaching staff,153
2016/2017,Canada,University of Lethbridge,Associate professor,Average (dollars),121625
2016/2017,Canada,University of Lethbridge,Associate professor,Median (dollars),118000
2016/2017,Canada,University of Lethbridge,With senior administrative duties,Total teaching staff,9
2016/2017,Canada,University of Lethbridge,With senior administrative duties,Average (dollars),142000
2016/2017,Canada,University of Lethbridge,With senior administrative duties,Median (dollars),x
2016/2017,Canada,University of Lethbridge,Without senior administrative duties,Total teaching staff,144
2016/2017,Canada,University of Lethbridge,Without senior administrative duties,Average (dollars),120475
2016/2017,Canada,University of Lethbridge,Without senior administrative duties,Median (dollars),117700
2016/2017,Canada,University of Lethbridge,Assistant professor,Total teaching staff,87
2016/2017,Canada,University of Lethbridge,Assistant professor,Average (dollars),93275
2016/2017,Canada,University of Lethbridge,Assistant professor,Median (dollars),91000
2016/2017,Canada,University of Lethbridge,Rank below assistant professor,Total teaching staff,99
2016/2017,Canada,University of Lethbridge,Rank below assistant professor,Average (dollars),92600
2016/2017,Canada,University of Lethbridge,Rank below assistant professor,Median (dollars),95700
2016/2017,Canada,University of Lethbridge,All ranks combined (including deans),Total teaching staff,447
2016/2017,Canada,University of Lethbridge,All ranks combined (including deans),Average (dollars),118550
2016/2017,Canada,University of Lethbridge,All ranks combined (including deans),Median (dollars),114600
2016/2017,Canada,University of Lethbridge,Male,Total teaching staff,267
2016/2017,Canada,University of Lethbridge,Male,Average (dollars),124225
2016/2017,Canada,University of Lethbridge,Male,Median (dollars),118025
2016/2017,Canada,University of Lethbridge,Female,Total teaching staff,180
2016/2017,Canada,University of Lethbridge,Female,Average (dollars),110175
2016/2017,Canada,University of Lethbridge,Female,Median (dollars),109300
2016/2017,Canada,Grant MacEwan University,Full professor,Total teaching staff,3
2016/2017,Canada,Grant MacEwan University,Full professor,Average (dollars),x
2016/2017,Canada,Grant MacEwan University,Full professor,Median (dollars),x
2016/2017,Canada,Grant MacEwan University,With senior administrative duties,Total teaching staff,x
2016/2017,Canada,Grant MacEwan University,With senior administrative duties,Average (dollars),x
2016/2017,Canada,Grant MacEwan University,With senior administrative duties,Median (dollars),x
2016/2017,Canada,Grant MacEwan University,Without senior administrative duties,Total teaching staff,x
2016/2017,Canada,Grant MacEwan University,Without senior administrative duties,Average (dollars),x
2016/2017,Canada,Grant MacEwan University,Without senior administrative duties,Median (dollars),x
2016/2017,Canada,Grant MacEwan University,Associate professor,Total teaching staff,84
2016/2017,Canada,Grant MacEwan University,Associate professor,Average (dollars),117325
2016/2017,Canada,Grant MacEwan University,Associate professor,Median (dollars),121250
2016/2017,Canada,Grant MacEwan University,With senior administrative duties,Total teaching staff,15
2016/2017,Canada,Grant MacEwan University,With senior administrative duties,Average (dollars),124950
2016/2017,Canada,Grant MacEwan University,With senior administrative duties,Median (dollars),123775
2016/2017,Canada,Grant MacEwan University,Without senior administrative duties,Total teaching staff,72
2016/2017,Canada,Grant MacEwan University,Without senior administrative duties,Average (dollars),115850
2016/2017,Canada,Grant MacEwan University,Without senior administrative duties,Median (dollars),118250
2016/2017,Canada,Grant MacEwan University,Assistant professor,Total teaching staff,192
2016/2017,Canada,Grant MacEwan University,Assistant professor,Average (dollars),106775
2016/2017,Canada,Grant MacEwan University,Assistant professor,Median (dollars),110725
2016/2017,Canada,Grant MacEwan University,Rank below assistant professor,Total teaching staff,96
2016/2017,Canada,Grant MacEwan University,Rank below assistant professor,Average (dollars),84675
2016/2017,Canada,Grant MacEwan University,Rank below assistant professor,Median (dollars),77675
2016/2017,Canada,Grant MacEwan University,Other teaching staff,Total teaching staff,3
2016/2017,Canada,Grant MacEwan University,Other teaching staff,Average (dollars),x
2016/2017,Canada,Grant MacEwan University,Other teaching staff,Median (dollars),x
2016/2017,Canada,Grant MacEwan University,All ranks combined (including deans),Total teaching staff,384
2016/2017,Canada,Grant MacEwan University,All ranks combined (including deans),Average (dollars),105350
2016/2017,Canada,Grant MacEwan University,All ranks combined (including deans),Median (dollars),110725
2016/2017,Canada,Grant MacEwan University,Male,Total teaching staff,174
2016/2017,Canada,Grant MacEwan University,Male,Average (dollars),111700
2016/2017,Canada,Grant MacEwan University,Male,Median (dollars),113500
2016/2017,Canada,Grant MacEwan University,Female,Total teaching staff,213
2016/2017,Canada,Grant MacEwan University,Female,Average (dollars),100225
2016/2017,Canada,Grant MacEwan University,Female,Median (dollars),103200
2016/2017,Canada,Mount Royal University,Full professor,Total teaching staff,30
2016/2017,Canada,Mount Royal University,Full professor,Average (dollars),146225
2016/2017,Canada,Mount Royal University,Full professor,Median (dollars),147950
2016/2017,Canada,Mount Royal University,With senior administrative duties,Total teaching staff,x
2016/2017,Canada,Mount Royal University,With senior administrative duties,Average (dollars),x
2016/2017,Canada,Mount Royal University,With senior administrative duties,Median (dollars),x
2016/2017,Canada,Mount Royal University,Without senior administrative duties,Total teaching staff,27
2016/2017,Canada,Mount Royal University,Without senior administrative duties,Average (dollars),145625
2016/2017,Canada,Mount Royal University,Without senior administrative duties,Median (dollars),146575
2016/2017,Canada,Mount Royal University,Associate professor,Total teaching staff,249
2016/2017,Canada,Mount Royal University,Associate professor,Average (dollars),118725
2016/2017,Canada,Mount Royal University,Associate professor,Median (dollars),121775
2016/2017,Canada,Mount Royal University,With senior administrative duties,Total teaching staff,27
2016/2017,Canada,Mount Royal University,With senior administrative duties,Average (dollars),132725
2016/2017,Canada,Mount Royal University,With senior administrative duties,Median (dollars),135300
2016/2017,Canada,Mount Royal University,Without senior administrative duties,Total teaching staff,222
2016/2017,Canada,Mount Royal University,Without senior administrative duties,Average (dollars),117075
2016/2017,Canada,Mount Royal University,Without senior administrative duties,Median (dollars),117900
2016/2017,Canada,Mount Royal University,Assistant professor,Total teaching staff,60
2016/2017,Canada,Mount Royal University,Assistant professor,Average (dollars),97125
2016/2017,Canada,Mount Royal University,Assistant professor,Median (dollars),97025
2016/2017,Canada,Mount Royal University,Other teaching staff,Total teaching staff,x
2016/2017,Canada,Mount Royal University,Other teaching staff,Average (dollars),x
2016/2017,Canada,Mount Royal University,Other teaching staff,Median (dollars),x
2016/2017,Canada,Mount Royal University,All ranks combined (including deans),Total teaching staff,342
2016/2017,Canada,Mount Royal University,All ranks combined (including deans),Average (dollars),118125
2016/2017,Canada,Mount Royal University,All ranks combined (including deans),Median (dollars),117900
2016/2017,Canada,Mount Royal University,Male,Total teaching staff,165
2016/2017,Canada,Mount Royal University,Male,Average (dollars),121600
2016/2017,Canada,Mount Royal University,Male,Median (dollars),121775
2016/2017,Canada,Mount Royal University,Female,Total teaching staff,180
2016/2017,Canada,Mount Royal University,Female,Average (dollars),114950
2016/2017,Canada,Mount Royal University,Female,Median (dollars),114125
2016/2017,Canada,University of British Columbia - Including medical dental,Full professor,Total teaching staff,1125
2016/2017,Canada,University of British Columbia - Including medical dental,Full professor,Average (dollars),178350
2016/2017,Canada,University of British Columbia - Including medical dental,Full professor,Median (dollars),171300
2016/2017,Canada,University of British Columbia - Including medical dental,With senior administrative duties,Total teaching staff,99
2016/2017,Canada,University of British Columbia - Including medical dental,With senior administrative duties,Average (dollars),205450
2016/2017,Canada,University of British Columbia - Including medical dental,With senior administrative duties,Median (dollars),196300
2016/2017,Canada,University of British Columbia - Including medical dental,Without senior administrative duties,Total teaching staff,1026
2016/2017,Canada,University of British Columbia - Including medical dental,Without senior administrative duties,Average (dollars),175700
2016/2017,Canada,University of British Columbia - Including medical dental,Without senior administrative duties,Median (dollars),168950
2016/2017,Canada,University of British Columbia - Including medical dental,Associate professor,Total teaching staff,762
2016/2017,Canada,University of British Columbia - Including medical dental,Associate professor,Average (dollars),135200
2016/2017,Canada,University of British Columbia - Including medical dental,Associate professor,Median (dollars),131175
2016/2017,Canada,University of British Columbia - Including medical dental,With senior administrative duties,Total teaching staff,30
2016/2017,Canada,University of British Columbia - Including medical dental,With senior administrative duties,Average (dollars),173000
2016/2017,Canada,University of British Columbia - Including medical dental,With senior administrative duties,Median (dollars),157975
2016/2017,Canada,University of British Columbia - Including medical dental,Without senior administrative duties,Total teaching staff,732
2016/2017,Canada,University of British Columbia - Including medical dental,Without senior administrative duties,Average (dollars),133700
2016/2017,Canada,University of British Columbia - Including medical dental,Without senior administrative duties,Median (dollars),130325
2016/2017,Canada,University of British Columbia - Including medical dental,Assistant professor,Total teaching staff,411
2016/2017,Canada,University of British Columbia - Including medical dental,Assistant professor,Average (dollars),114400
2016/2017,Canada,University of British Columbia - Including medical dental,Assistant professor,Median (dollars),107975
2016/2017,Canada,University of British Columbia - Including medical dental,Rank below assistant professor,Total teaching staff,468
2016/2017,Canada,University of British Columbia - Including medical dental,Rank below assistant professor,Average (dollars),101050
2016/2017,Canada,University of British Columbia - Including medical dental,Rank below assistant professor,Median (dollars),98100
2016/2017,Canada,University of British Columbia - Including medical dental,All ranks combined (including deans),Total teaching staff,2781
2016/2017,Canada,University of British Columbia - Including medical dental,All ranks combined (including deans),Average (dollars),144550
2016/2017,Canada,University of British Columbia - Including medical dental,All ranks combined (including deans),Median (dollars),137200
2016/2017,Canada,University of British Columbia - Including medical dental,Male,Total teaching staff,1740
2016/2017,Canada,University of British Columbia - Including medical dental,Male,Average (dollars),152025
2016/2017,Canada,University of British Columbia - Including medical dental,Male,Median (dollars),144550
2016/2017,Canada,University of British Columbia - Including medical dental,Female,Total teaching staff,1041
2016/2017,Canada,University of British Columbia - Including medical dental,Female,Average (dollars),132075
2016/2017,Canada,University of British Columbia - Including medical dental,Female,Median (dollars),126625
2016/2017,Canada,University of British Columbia - Excluding medical dental,Full professor,Total teaching staff,789
2016/2017,Canada,University of British Columbia - Excluding medical dental,Full professor,Average (dollars),175200
2016/2017,Canada,University of British Columbia - Excluding medical dental,Full professor,Median (dollars),169250
2016/2017,Canada,University of British Columbia - Excluding medical dental,With senior administrative duties,Total teaching staff,78
2016/2017,Canada,University of British Columbia - Excluding medical dental,With senior administrative duties,Average (dollars),195450
2016/2017,Canada,University of British Columbia - Excluding medical dental,With senior administrative duties,Median (dollars),192025
2016/2017,Canada,University of British Columbia - Excluding medical dental,Without senior administrative duties,Total teaching staff,711
2016/2017,Canada,University of British Columbia - Excluding medical dental,Without senior administrative duties,Average (dollars),172975
2016/2017,Canada,University of British Columbia - Excluding medical dental,Without senior administrative duties,Median (dollars),167050
2016/2017,Canada,University of British Columbia - Excluding medical dental,Associate professor,Total teaching staff,579
2016/2017,Canada,University of British Columbia - Excluding medical dental,Associate professor,Average (dollars),134025
2016/2017,Canada,University of British Columbia - Excluding medical dental,Associate professor,Median (dollars),130850
2016/2017,Canada,University of British Columbia - Excluding medical dental,With senior administrative duties,Total teaching staff,27
2016/2017,Canada,University of British Columbia - Excluding medical dental,With senior administrative duties,Average (dollars),169575
2016/2017,Canada,University of British Columbia - Excluding medical dental,With senior administrative duties,Median (dollars),156000
2016/2017,Canada,University of British Columbia - Excluding medical dental,Without senior administrative duties,Total teaching staff,552
2016/2017,Canada,University of British Columbia - Excluding medical dental,Without senior administrative duties,Average (dollars),132350
2016/2017,Canada,University of British Columbia - Excluding medical dental,Without senior administrative duties,Median (dollars),129575
2016/2017,Canada,University of British Columbia - Excluding medical dental,Assistant professor,Total teaching staff,318
2016/2017,Canada,University of British Columbia - Excluding medical dental,Assistant professor,Average (dollars),112825
2016/2017,Canada,University of British Columbia - Excluding medical dental,Assistant professor,Median (dollars),106925
2016/2017,Canada,University of British Columbia - Excluding medical dental,Rank below assistant professor,Total teaching staff,411
2016/2017,Canada,University of British Columbia - Excluding medical dental,Rank below assistant professor,Average (dollars),98600
2016/2017,Canada,University of British Columbia - Excluding medical dental,Rank below assistant professor,Median (dollars),93725
2016/2017,Canada,University of British Columbia - Excluding medical dental,All ranks combined (including deans),Total teaching staff,2106
2016/2017,Canada,University of British Columbia - Excluding medical dental,All ranks combined (including deans),Average (dollars),139975
2016/2017,Canada,University of British Columbia - Excluding medical dental,All ranks combined (including deans),Median (dollars),134425
2016/2017,Canada,University of British Columbia - Excluding medical dental,Male,Total teaching staff,1296
2016/2017,Canada,University of British Columbia - Excluding medical dental,Male,Average (dollars),147700
2016/2017,Canada,University of British Columbia - Excluding medical dental,Male,Median (dollars),142250
2016/2017,Canada,University of British Columbia - Excluding medical dental,Female,Total teaching staff,810
2016/2017,Canada,University of British Columbia - Excluding medical dental,Female,Average (dollars),127600
2016/2017,Canada,University of British Columbia - Excluding medical dental,Female,Median (dollars),122150
2016/2017,Canada,University of Northern British Columbia,Full professor,Total teaching staff,72
2016/2017,Canada,University of Northern British Columbia,Full professor,Average (dollars),112725
2016/2017,Canada,University of Northern British Columbia,Full professor,Median (dollars),109050
2016/2017,Canada,University of Northern British Columbia,With senior administrative duties,Total teaching staff,12
2016/2017,Canada,University of Northern British Columbia,With senior administrative duties,Average (dollars),115000
2016/2017,Canada,University of Northern British Columbia,With senior administrative duties,Median (dollars),113450
2016/2017,Canada,University of Northern British Columbia,Without senior administrative duties,Total teaching staff,60
2016/2017,Canada,University of Northern British Columbia,Without senior administrative duties,Average (dollars),112225
2016/2017,Canada,University of Northern British Columbia,Without senior administrative duties,Median (dollars),108500
2016/2017,Canada,University of Northern British Columbia,Associate professor,Total teaching staff,60
2016/2017,Canada,University of Northern British Columbia,Associate professor,Average (dollars),94125
2016/2017,Canada,University of Northern British Columbia,Associate professor,Median (dollars),94550
2016/2017,Canada,University of Northern British Columbia,With senior administrative duties,Total teaching staff,9
2016/2017,Canada,University of Northern British Columbia,With senior administrative duties,Average (dollars),101850
2016/2017,Canada,University of Northern British Columbia,With senior administrative duties,Median (dollars),x
2016/2017,Canada,University of Northern British Columbia,Without senior administrative duties,Total teaching staff,51
2016/2017,Canada,University of Northern British Columbia,Without senior administrative duties,Average (dollars),92775
2016/2017,Canada,University of Northern British Columbia,Without senior administrative duties,Median (dollars),92075
2016/2017,Canada,University of Northern British Columbia,Assistant professor,Total teaching staff,36
2016/2017,Canada,University of Northern British Columbia,Assistant professor,Average (dollars),77025
2016/2017,Canada,University of Northern British Columbia,Assistant professor,Median (dollars),77075
2016/2017,Canada,University of Northern British Columbia,Rank below assistant professor,Total teaching staff,9
2016/2017,Canada,University of Northern British Columbia,Rank below assistant professor,Average (dollars),66600
2016/2017,Canada,University of Northern British Columbia,Rank below assistant professor,Median (dollars),69775
2016/2017,Canada,University of Northern British Columbia,All ranks combined (including deans),Total teaching staff,183
2016/2017,Canada,University of Northern British Columbia,All ranks combined (including deans),Average (dollars),97400
2016/2017,Canada,University of Northern British Columbia,All ranks combined (including deans),Median (dollars),98600
2016/2017,Canada,University of Northern British Columbia,Male,Total teaching staff,111
2016/2017,Canada,University of Northern British Columbia,Male,Average (dollars),100600
2016/2017,Canada,University of Northern British Columbia,Male,Median (dollars),102625
2016/2017,Canada,University of Northern British Columbia,Female,Total teaching staff,72
2016/2017,Canada,University of Northern British Columbia,Female,Average (dollars),92375
2016/2017,Canada,University of Northern British Columbia,Female,Median (dollars),91225
2016/2017,Canada,Simon Fraser University,Full professor,Total teaching staff,414
2016/2017,Canada,Simon Fraser University,Full professor,Average (dollars),144575
2016/2017,Canada,Simon Fraser University,Full professor,Median (dollars),141500
2016/2017,Canada,Simon Fraser University,With senior administrative duties,Total teaching staff,45
2016/2017,Canada,Simon Fraser University,With senior administrative duties,Average (dollars),148875
2016/2017,Canada,Simon Fraser University,With senior administrative duties,Median (dollars),146825
2016/2017,Canada,Simon Fraser University,Without senior administrative duties,Total teaching staff,366
2016/2017,Canada,Simon Fraser University,Without senior administrative duties,Average (dollars),144025
2016/2017,Canada,Simon Fraser University,Without senior administrative duties,Median (dollars),141500
2016/2017,Canada,Simon Fraser University,Associate professor,Total teaching staff,297
2016/2017,Canada,Simon Fraser University,Associate professor,Average (dollars),118450
2016/2017,Canada,Simon Fraser University,Associate professor,Median (dollars),113550
2016/2017,Canada,Simon Fraser University,With senior administrative duties,Total teaching staff,21
2016/2017,Canada,Simon Fraser University,With senior administrative duties,Average (dollars),119275
2016/2017,Canada,Simon Fraser University,With senior administrative duties,Median (dollars),114125
2016/2017,Canada,Simon Fraser University,Without senior administrative duties,Total teaching staff,276
2016/2017,Canada,Simon Fraser University,Without senior administrative duties,Average (dollars),118375
2016/2017,Canada,Simon Fraser University,Without senior administrative duties,Median (dollars),112825
2016/2017,Canada,Simon Fraser University,Assistant professor,Total teaching staff,123
2016/2017,Canada,Simon Fraser University,Assistant professor,Average (dollars),99250
2016/2017,Canada,Simon Fraser University,Assistant professor,Median (dollars),91750
2016/2017,Canada,Simon Fraser University,Rank below assistant professor,Total teaching staff,168
2016/2017,Canada,Simon Fraser University,Rank below assistant professor,Average (dollars),92125
2016/2017,Canada,Simon Fraser University,Rank below assistant professor,Median (dollars),97175
2016/2017,Canada,Simon Fraser University,All ranks combined (including deans),Total teaching staff,1011
2016/2017,Canada,Simon Fraser University,All ranks combined (including deans),Average (dollars),123500
2016/2017,Canada,Simon Fraser University,All ranks combined (including deans),Median (dollars),122150
2016/2017,Canada,Simon Fraser University,Male,Total teaching staff,645
2016/2017,Canada,Simon Fraser University,Male,Average (dollars),128050
2016/2017,Canada,Simon Fraser University,Male,Median (dollars),128225
2016/2017,Canada,Simon Fraser University,Female,Total teaching staff,363
2016/2017,Canada,Simon Fraser University,Female,Average (dollars),115400
2016/2017,Canada,Simon Fraser University,Female,Median (dollars),109175
2016/2017,Canada,University of Victoria,Full professor,Total teaching staff,294
2016/2017,Canada,University of Victoria,Full professor,Average (dollars),153725
2016/2017,Canada,University of Victoria,Full professor,Median (dollars),153100
2016/2017,Canada,University of Victoria,With senior administrative duties,Total teaching staff,42
2016/2017,Canada,University of Victoria,With senior administrative duties,Average (dollars),164500
2016/2017,Canada,University of Victoria,With senior administrative duties,Median (dollars),161550
2016/2017,Canada,University of Victoria,Without senior administrative duties,Total teaching staff,252
2016/2017,Canada,University of Victoria,Without senior administrative duties,Average (dollars),151925
2016/2017,Canada,University of Victoria,Without senior administrative duties,Median (dollars),150700
2016/2017,Canada,University of Victoria,Associate professor,Total teaching staff,261
2016/2017,Canada,University of Victoria,Associate professor,Average (dollars),118925
2016/2017,Canada,University of Victoria,Associate professor,Median (dollars),115150
2016/2017,Canada,University of Victoria,With senior administrative duties,Total teaching staff,39
2016/2017,Canada,University of Victoria,With senior administrative duties,Average (dollars),131175
2016/2017,Canada,University of Victoria,With senior administrative duties,Median (dollars),129500
